MAIL_MONTH,EXTERNAL_ID,EMP_TOTAL,PAYDEX_RANGE_CODE,PAYDEX,SALES_VOLUME,LEGAL_STATUS,BUSINESS_KEY,EXTERNAL_ID,BRAND_CODE,MARKET_SEGMENT,LIST_NAME,RUN_DATE,RATE_RESP,RATE_QUAL,RATE_SUB,RATE_APPR,RATE_FUND,FUND_AMT_PER_DEAL,CTF,IS_PPP,IS_RDI,ANALYTICAL_LIST_NAME,CREATED_BY,UPDATED_BY,MODEL_CREATED_DATE,MODEL_UPDATED_DATE,DBT_UPDATED_AT,DBT_CREATED_AT,NF_RESP_SCOREBIN,NF_SUB_SCOREBIN,FLG_RESP,FLG_SUB
202510,102910070,2,,4.00000,74244,,ef4d788c1e731385e40e27084462b340,102910070,NF,PL-Sales_1-TIB_3-EMP_2-0.00725289-0.00384695-0.07781955-0.65895954-0.36184211-34883.15-0.12802093-N-10-02-RESP_nonppp-SUB_nonppp,Double Mail - Same Brand/V6,20250801,0.00725289,0.00384695,0.07781955,0.65895954,0.36184211,34883.15,0.12802093,N,,V6,@sbireddy,@sbireddy,2024-02-22,2025-12-05,2025-12-29 09:22:00.655 -0800,2025-12-29 09:22:00.655 -0800,10,02,0,0
202510,102910070,2,,4.00000,74244,,ef4d788c1e731385e40e27084462b340,102910070,NF,PL-Sales_1-TIB_3-EMP_2-0.00725289-0.00384695-0.07781955-0.65895954-0.36184211-34883.15-0.12802093-N-10-02-RESP_nonppp-SUB_nonppp,Double Mail - Same Brand/V6,20250801,0.00725289,0.00384695,0.07781955,0.65895954,0.36184211,34883.15,0.12802093,N,,V6,@sbireddy,@sbireddy,2024-02-22,2025-12-05,2025-12-29 09:22:00.655 -0800,2025-12-29 09:22:00.655 -0800,10,02,0,0
202601,081151898,1,,,574755,I,82d337cbff6e11c9c3e76d00e68791dd,081151898,NF,PL-Sales_2-TIB_3-EMP_1-0.00071700-0.00065100-0.32000000-0.39908257-0.36986301-53952.0-0.34479440-N-05-09-RESP_nonppp-SUB_nonppp-N,Lower Quality/V6,20251101,0.00071700,0.00065100,0.32000000,0.39908257,0.36986301,53952.0,0.34479440,N,N,V6,@sbireddy,@sbireddy,2024-02-22,2025-12-05,2025-12-29 09:22:00.655 -0800,2025-12-29 09:22:00.655 -0800,05,09,0,0
202601,132727304,1,,,277925,I,2b311bd013faefc979f8acabf1ec69cd,132727304,NF,PL-Sales_2-TIB_2-EMP_1-0.00396700-0.00214600-0.08280800-0.41860465-0.36986301-39608.0-0.31273622-N-07-02-RESP_nonppp-SUB_nonppp-N,Lower Quality/V6,20251101,0.00396700,0.00214600,0.08280800,0.41860465,0.36986301,39608.0,0.31273622,N,N,V6,@sbireddy,@sbireddy,2024-02-22,2025-12-05,2025-12-29 09:22:00.655 -0800,2025-12-29 09:22:00.655 -0800,07,02,0,0
202505,117054370,2,,,57876,I,67220ee237bc78144459e1e78bfd40ce,117054370,QB,PL-Sales_1-TIB_3-EMP_2-0.0018247992-0.0010229112-0.1406250000-0.7543859649-0.2577319588-52831.0-0.2280059321-Y-05-03-RESP_ppp-SUB_ppp,Single Mail,20250301,0.0018247992,0.0010229112,0.1406250000,0.7543859649,0.2577319588,52831.0,0.2280059321,Y,,,@sbireddy,@sbireddy,2024-02-22,2025-12-05,2025-12-29 09:22:00.655 -0800,2025-12-29 09:22:00.655 -0800,,,0,0
202512,128814612,1,,80.00000,189076,,8b0372ceb7e623aea54f24bb5056686d,128814612,NF,PL-Sales_1-TIB_2-EMP_1-0.00554000-0.00329300-0.12879700-0.452-0.336842-33627.0-0.16451525-N-09-04-RESP_nonppp-SUB_nonppp,Single Mail/V6,20251001,0.00554000,0.00329300,0.12879700,0.452,0.336842,33627.0,0.16451525,N,,V6,@sbireddy,@sbireddy,2024-02-22,2025-12-05,2025-12-29 09:22:00.655 -0800,2025-12-29 09:22:00.655 -0800,09,04,0,0
202601,011426423,2,,,638704,,5b2c22091a3d9a62b7c8b2bd82e9eddb,011426423,NF,PL-Sales_2-TIB_2-EMP_2-0.00323000-0.00166000-0.11320800-0.33333333-0.39-56388.0-0.39172349-N-09-09-RESP_nonppp-SUB_nonppp-N,Supplement List 2/V7,20251101,0.00323000,0.00166000,0.11320800,0.33333333,0.39,56388.0,0.39172349,N,N,V7,@sbireddy,@sbireddy,2024-02-22,2025-12-05,2025-12-29 09:22:00.655 -0800,2025-12-29 09:22:00.655 -0800,09,09,0,0
202512,074372739,1,,,74156,,4f7ad57ecf39647e787917cdcac2bd2c,074372739,NF,NL-Sales_1-TIB_2-EMP_1-0.00554000-0.00329300-0.10919500-0.54878-0.294118-57364.0-0.10730072-N-09-03-RESP_nonppp-SUB_nonppp,Double Mail - Same Brand/V6,20251001,0.00554000,0.00329300,0.10919500,0.54878,0.294118,57364.0,0.10730072,N,,V6,@sbireddy,@sbireddy,2024-02-22,2025-12-05,2025-12-29 09:22:00.655 -0800,2025-12-29 09:22:00.655 -0800,09,03,0,0
202512,074372739,1,,,74156,,4f7ad57ecf39647e787917cdcac2bd2c,074372739,NF,NL-Sales_1-TIB_2-EMP_1-0.00554000-0.00329300-0.10919500-0.54878-0.294118-57364.0-0.10730072-N-09-03-RESP_nonppp-SUB_nonppp,Double Mail - Same Brand/V6,20251001,0.00554000,0.00329300,0.10919500,0.54878,0.294118,57364.0,0.10730072,N,,V6,@sbireddy,@sbireddy,2024-02-22,2025-12-05,2025-12-29 09:22:00.655 -0800,2025-12-29 09:22:00.655 -0800,09,03,0,0
202510,032388483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0
